TrOWL,Expressivity,Profile,class_count,obj_property_count,dataproperty_count,indiv_count,datatypes_count,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,Complement,OneOf,HasValue,HasSelf,IntersectionR,UnionR,ExistentielR,UniversalR,LeastCardinalityR,MostCardinalityR,ExactCardinalityR,avgValuesCard,LogestMCard,LogestLCard,LogestECard,ComplementR,OneOfR,HasValueR,HasSelfR,MaxACC,OntoCCDensity,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,TransitiveObjectProperty,ObjectPropertyDomain,SubObjectPropertyOf,SubClassOf,ClassAssertion,DataPropertyRange,FunctionalObjectProperty,ObjectPropertyRange,InverseFunctionalObjectProperty,InverseObjectProperties,DisjointClasses,FunctionalDataProperty,AttRichness,RRichness,HC_Max_Sibling,HC_Avg_Sibling,C_TangledClass,C_MaxTangledness,C_CENTRALITY,HC_MAX_DEPTH,HC_Cohesion,HP_Max_Sibling,HP_Avg_Sibling,P_Tangledness,MAX_PTangledness,OP_Cohesion,P_CENTRALITY,HP_MAX_DEPTH,HP_Cohesion,Onto_Cohesion,CyclicClsRatio,CyclicClsCount,UI,EUR,CUR,SymmetricObjectProperty,EquivalentClasses,DataPropertyDomain,ObjectPropertyAssertion,SubPropertyChainOf,DisjointUnion,DifferentIndividuals,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,DataPropertyAssertion,SubDataPropertyOf,ReflexiveObjectProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
10.814765742586738,SHIF(D),DL,1110,12,1,0,1,21297,20174,20147,0,27,99.866,0,0.134,0,20141,0,0,99.97,0,25,2.944,0.36,0,0,0,0,85,248,16790,1226,0,0,0,0,0,0,0,0.463,1.352,91.504,6.682,0,0,0,0,0,0,0,0,0,0,0,3,0.304,98.546,0,0,0,0,0,10.613,6.805,100,0.01,0.035,0.035,99.836,0,0,0.005,0.035,0.005,0.01,0.03,0,0.001,0.001,961,184.333,0,1,0.867,3,0.005,3,1.4,0,1,0,0.2,2,0.212,0.072,0.002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.910750787961936,SHOIN(D),DL,208,313,4,39,3,2173,1649,403,119,1127,24.439,0.438,68.344,7,288,52,1.737,71.464,12.903,15,3.032,18.269,2.404,0,0,12.821,79,15,153,80,9,0,6,12,5,0,0,22.006,4.178,42.618,22.284,2.507,0,1.671,5.026,0,3,1,3.343,1.393,0,0,13,0.069,100,12.903,0,0,0,0,0,0,100,0.849,18.86,19.406,18.132,5.033,0.243,0,18.86,0,9.824,2.729,0,0.019,0.506,10,2.127,0.483,2,0.047,11,0.041,25,3.2,0.319,3,0,0.074,6,0.023,0.022,2.502,65,1,2,0,0.061,3.578,0.243,2.183,0,0,0,0,0,0,0,0,0,0,0,0
6.473890696352274,SHOIN(D),DL,121,239,1,12,1,1547,1187,277,51,859,23.336,0.362,72.367,4,200,24,1.444,72.202,8.664,15,2.823,24.793,2.479,0,0,25,37,9,96,57,2,0,2,5,3,0,0,17.536,4.265,45.498,27.014,0.948,0,0.948,1.583,0,2,0,2.37,1.422,0,0,9,0.085,100,15.924,0,0,0,0,0,0,100,1.011,19.966,20.556,17.523,2.275,0.084,0,19.966,0,10.615,3.454,0,0.008,0.547,7,2.089,0.833,2,0.055,11,0.079,23,3.089,0.418,3,0,0.089,6,0.029,0.036,0.812,14,0,0,0,0.084,2.359,0.084,2.022,0,0,0,0,0,0,0,0,0,0,0,0
11.05759761768966,ALEHIF+,DL,23136,950,0,0,0,61782,37696,35531,0,2165,94.257,0,5.743,1951,22714,8017,5.491,63.927,22.563,28,3.749,0,0,0,0,0,15348,0,29618,0,0,0,0,0,0,0,0,34.132,0,65.868,0,0,0,0,0,0,0,0,0,0,0,0,19,0.067,100,21.082,0,0,0,0,43.97,23.087,99.281,0.154,0,2.541,67.814,0,0,0.894,0,0.894,1.26,0,0,0,0,1492,4.716,0.009,3,0.064,24,0.001,35,4.477,0.105,2,0,0.036,12,0.02,0.01,0.001,1,0,0,0,0,26.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.53934599605737,ALEHIF+,DL,6350,162,0,0,0,21229,14717,14498,0,219,98.512,0,1.488,1234,8842,2370,8.512,60.988,16.347,22,3.609,0,0,0,0,0,4645,0,13458,0,0,0,0,0,0,0,0,25.659,0,74.341,0,0,0,0,0,0,0,0,0,0,0,0,12,0.104,75.375,28.184,0,0,0,0,36.677,0,71.095,0.272,0,0.482,74.023,0,0,0.401,0,0,0.333,0,0,0,0,199,5.145,0.016,2,0.032,22,0.003,5,1.543,0.617,2,0,0.032,5,0.016,0.009,0.002,1,0,0,0,0,24.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001521292807494,SRIQ,DL,56632,198,0,0,0,184312,127483,127309,0,174,99.864,0,0.136,11562,85702,1647,9.082,67.318,1.294,9,2.605,0.459,0,0,0,0,13205,18,50319,0,0,0,18,0,0,0,0,20.776,0.028,79.168,0,0,0,0,0,0,0,2,0,0,0,0,4,0.125,57.479,55.981,0,0,0,0,0,0,88.003,0.014,0.023,0.042,89.899,0,0,0.001,0.024,0,0.01,0.224,0,0,0.002,691,4.494,0.009,8,-0.036,23,0.002,7,1.636,1.01,3,0,0.038,4,0.007,0.003,0.435,1636,0,0,0,0,9.74,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0
9.461565907417349,SRIF,DL,37963,21,0,0,0,117003,79020,78999,0,21,99.973,0,0.027,7682,48673,0,9.724,61.612,0,7,2.477,0.108,0,0,0,0,7682,0,22297,0,0,0,0,0,0,0,0,25.625,0,74.375,0,0,0,0,0,0,0,0,0,0,0,0,3,0.126,42.216,42.737,0,0,0,0,0,0,57.671,0.004,0.005,0.004,90.197,0,0,0.001,0.005,0,0.003,0.054,0,0,0.001,691,4.068,0.013,8,0.018,16,0.002,2,1.5,0,1,0,0.095,2,0.029,0.01,0.698,1636,0,0,0,0,9.722,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
9.458449669308141,SRIF,DL,36495,17,0,0,0,112910,76399,76379,0,20,99.974,0,0.026,7625,46354,0,9.983,60.689,0,11,2.479,0.025,0,0,0,0,7627,1,21311,0,0,0,0,0,0,0,0,26.355,0.003,73.641,0,0,0,0,0,0,0,0,0,0,0,0,5,0.076,40.336,40.336,0,0,0,0,0,0,60.26,0.004,0.005,0.004,89.982,0,0,0.001,0.005,0,0.003,0.008,0,0,0,691,4.088,0.014,8,0.019,16,0.003,2,1.5,0,1,0,0.117,2,0.044,0.016,0.719,1636,0,0,0,0,9.983,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0
6.025865973825314,SHN(D),DL,41,33,37,0,6,441,331,185,0,146,55.891,0,44.109,0,100,0,0,54.054,0,7,2.189,90.244,0,0,0,0,0,3,2,6,6,10,6,0,0,0,0,0,9.091,6.061,18.182,18.182,30.303,18.182,0.33,1,1,1,0,0,0,0,4,0.045,0,0,0,0,0,0,0,0,30,0.302,9.97,1.511,30.211,0,11.178,0,9.97,0,0,25.68,0,0.902,0.541,11,3,2.5,2,0.244,6,0.159,5,5,0,1,0.002,0.156,2,0.019,0.06,7.91,53,0,0,0,0,0,11.178,0,0,0,0,0,0,0,0,0,0,0,0,0
5.752572638825633,ALUOI(D),DL,84,11,6,5,2,210,109,75,5,29,68.807,4.208,26.606,0,73,2,0,97.333,2.667,2,2,0,2.381,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0.027,0,0,0,0,0,0,0,0,0,0,10.092,0,66.972,4.587,5.505,0,10.092,0,0.917,0,0,0.071,0.128,13,6.083,0,1,0.151,4,0.079,0,0,0,1,0.001,0,0,0,0.04,0,0,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
